start,end,steady,well_1,well_2,well_3,well_4,well_5,well_6,well_7,well_8,well_9,chem_1,chem_2,chem_3,chem_4,chem_5,chem_6,chem_7,chem_8,chem_9
-1,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,4,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,5,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,6,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,7,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,8,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,9,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,10,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,11,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,12,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,13,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,14,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,15,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,16,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,17,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,18,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,19,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,20,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,21,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,22,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,23,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,24,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,25,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,26,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,27,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,28,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,29,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,30,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,31,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,32,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,33,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,34,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,35,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,36,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,37,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,38,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,39,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,40,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,41,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,42,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,43,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,44,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,45,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,46,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,47,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,48,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,49,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,50,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,51,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,52,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,53,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,54,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,55,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,56,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,57,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,58,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,59,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,60,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,61,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,62,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,63,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,64,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
